name,signal,registration,country,category,length,port,mmsi
EL MALO I,,2350,Argentina,"COSTEROS, FRESQUERO",15.3,,NA
EL PRINCIPE AZUL,,906,Argentina,"RADA O RIA, FRESQUERO",13.25,,NA
EL TEHUELCHE,,2565,Argentina,"COSTEROS, FRESQUERO",17.4,,NA
EL VENCEDOR,,2619,Argentina,"RADA O RIA, FRESQUERO",14.5,,NA
EMILIA MARIA,,1390,Argentina,"COSTEROS, FRESQUERO",22.6,,NA
EMPESUR II,,1439,Argentina,"ALTURA,PROC.CONGELADOR",31,,NA
EMPESUR VI,,2983,Argentina,"ALTURA,PROC.CONGELADOR",35.03,,NA
EMPESUR VII,,2122,Argentina,,35.03,,NA
ENRIQUE F,,2360,Argentina,"COSTEROS, FRESQUERO",16.9,,NA
ERIN BRUCE,,537,Argentina,"ALTURA,PROC.CONGELADOR",53.6,,NA
ES POSIBLE,,966,Argentina,"RADA O RIA, FRESQUERO",12.85,,NA
ES POSIBLE II,,965,Argentina,"RADA O RIA, FRESQUERO",12.85,,NA
ESPERANZA DOS,,172,Argentina,"ALTURA,PROC.CONGELADOR",53,,NA
ESTEFANY,,1583,Argentina,"COSTEROS, FRESQUERO",23.6,,NA
ESTRELLA Nº 11,,2575,Argentina,"ALTURA,PROC.CONGELADOR",64.72,,NA
ESTRELLITA,,1115,Argentina,"RADA O RIA, FRESQUERO",15.38,,NA
ETERNO SAN JOSE,,1493,Argentina,"RADA O RIA, FRESQUERO",13.41,,NA
EURO II,,2314,Argentina,"COSTEROS, FRESQUERO",20.1,,NA
FE EN DIOS,,1187,Argentina,"COSTEROS, FRESQUERO",17.31,,NA
FELISITAS,,2141,Argentina,"RADA O RIA, FRESQUERO",15.6,,NA
FIDES FE I,,1531,Argentina,"COSTEROS, FRESQUERO",20.67,,NA
FIDES FE II,,1325,Argentina,"COSTEROS, FRESQUERO",23.8,,NA
FIESTA,,1446,Argentina,"COSTEROS, FRESQUERO",18.8,,NA
FRANCA,,495,Argentina,"ALTURA, FRESQUERO",27.29,,NA
GALA,,2722,Argentina,"COSTEROS, FRESQUERO",15.2,,NA
GIARDINI,,778,Argentina,"RADA O RIA, FRESQUERO",12.15,,NA
GIULIANA.,,2633,Argentina,"ALTURA,PROC.CONGELADOR",63.89,,NA
GLORIOSUS,,2626,Argentina,"COSTEROS, FRESQUERO",16.26,,NA
GRACIELA,,578,Argentina,"ALTURA, FRESQUERO",44.1,,NA
GRAN CAPITAN,,1538,Argentina,"ALTURA, FRESQUERO",25.43,,NA
GUSTAVO R,,75,Argentina,"ALTURA, FRESQUERO",68.3,,NA
HAMPON,,1410,Argentina,"COSTEROS, FRESQUERO",18.99,,NA
HUYU 906,,3026,Argentina,"ALTURA,PROC.CONGELADOR",65.92,,NA
INARI MARU N°25,,261,Argentina,"ALTURA,PROC.CONGELADOR",54.25,,NA
INDOMABLE,,2347,Argentina,"COSTEROS, FRESQUERO",16.1,,NA
INDOMITO,,1484,Argentina,"RADA O RIA, FRESQUERO",15.86,,NA
INSOLITO,,758,Argentina,"COSTEROS, FRESQUERO",22.7,,NA
ISLA DE CAPRI,,903,Argentina,"RADA O RIA, FRESQUERO",12.92,,NA
ITALIA,,973,Argentina,"RADA O RIA, FRESQUERO",14.07,,NA
JESUS DE NAZARETH,,710,Argentina,"RADA O RIA, FRESQUERO",14.65,,NA
JUAN MARIO,,2467,Argentina,"RADA O RIA, FRESQUERO",15.4,,NA
JUAN PABLO II,,2695,Argentina,"COSTEROS, FRESQUERO",18.99,,NA
JUPITER II,,406,Argentina,"ALTURA, FRESQUERO",27.9,,NA
LA CRUZ DEL SUD,,1902,Argentina,"RADA O RIA, FRESQUERO",14.62,,NA
