name,signal,registration,country,category,length,port,mmsi
ARGENOVA XII,,199,Argentina,"ALTURA,PROC.CONGELADOR",47.09,,701054000
VERDEL,,174,Argentina,"ALTURA,PROC.CONGELADOR",71.7,,701045000
LUCA MARIO,,546,Argentina,"ALTURA,PROC.CONGELADOR",79.14,,701042000
DON NICOLA,,893,Argentina,"ALTURA, FRESQUERO",28.14,,701038000
DON PEDRO.,,68,Argentina,"ALTURA,PROC.CONGELADOR",73.6,,701037000
ANABELLA M,,175,Argentina,"ALTURA,PROC.CONGELADOR",64.8,,701031000
DON GAETANO,,71,Argentina,"ALTURA, FRESQUERO",32.1,,701030000
CENTURION DEL ATLANTICO,,237,Argentina,"ALTURA,PROC.FACTORIA",112.8,,701027000
ATLANTIC SURF III,,2030,Argentina,"ALTURA,PROC.CONGELADOR",49.6,,701024000
CAROLINA P,,176,Argentina,"ALTURA,PROC.CONGELADOR",71.6,,701023000
CENTAURO 2000,,482,Argentina,"ALTURA, FRESQUERO",35.5,,701019000
ALVAREZ ENTRENA I,,2454,Argentina,"ALTURA,PROC.CONGELADOR",39.43,,701007044
LIBERTAD DEL MAR I,,2186,Argentina,"ALTURA,PROC.CONGELADOR",68.25,,701007043
EL MARISCO II,,915,Argentina,"ALTURA, FRESQUERO",56.3,,701007040
ARRUFO,,540,Argentina,"ALTURA, FRESQUERO",39.16,,701007039
EL SANTO,,1526,Argentina,"COSTEROS, FRESQUERO",24.95,,701007038
GALEMAR,,904,Argentina,"ALTURA, FRESQUERO",54.4,,701007037
MARIA RITA,,436,Argentina,"ALTURA, FRESQUERO",30.95,,701007036
PENSACOLA I,,747,Argentina,"ALTURA, FRESQUERO",25.2,,701007029
BUENA PESCA,,1475,Argentina,"ALTURA, FRESQUERO",39.1,,701007027
CEIBE DOUS,,336,Argentina,"ALTURA,PROC.CONGELADOR",40.7,,701007026
INFINITUS PEZ,,1472,Argentina,"ALTURA, FRESQUERO",24.82,,701007020
JUDITH I,,908,Argentina,"ALTURA, FRESQUERO",30.45,,701007018
CABO DE HORNOS,,1537,Argentina,"ALTURA, FRESQUERO",25,,701007017
SAGRADO CORAZON,,1900,Argentina,"COSTEROS, FRESQUERO",22.3,,701007014
SANTA BARBARA,,1885,Argentina,"ALTURA, FRESQUERO",56.96,,701007014
SANT'ANTONIO,,974,Argentina,"ALTURA, FRESQUERO",25.2,,701007012
SAN PEDRO APOSTOL,,1975,Argentina,"COSTEROS, FRESQUERO",26,,701007011
DON GIULIANO,,2025,Argentina,"COSTEROS, FRESQUERO",17.1,,701007002
HUYU 907,,3027,Argentina,"ALTURA,PROC.CONGELADOR",72.17,,701006733
MINCHOS OCTAVO,,3022,Argentina,,39.3,,701006727
HUAFENG 801,,3013,Argentina,"ALTURA,PROC.CONGELADOR",65.04,,701006725
HUAFENG 802,,3014,Argentina,"ALTURA,PROC.CONGELADOR",65.04,,701006724
BOGAVANTE SEGUNDO,,2994,Argentina,"ALTURA,PROC.CONGELADOR",37.45,,701006698
FRANCO JOSE,,2984,Argentina,"COSTEROS, FRESQUERO",19.94,,701006687
DON FRANCO,,2955,Argentina,"COSTEROS, FRESQUERO",19.94,,701006640
XIN SHI JI Nº 92,,2930,Argentina,"ALTURA,PROC.CONGELADOR",68.58,,701006615
XIN SHI JI Nº 95,,2933,Argentina,"ALTURA,PROC.CONGELADOR",68.58,,701006614
XIN SHI JI Nº 91,,2924,Argentina,"ALTURA,PROC.CONGELADOR",68.58,,701006609
CAPESANTE,,2929,Argentina,"ALTURA,PROC.CONGELADOR",50.15,,701006605
ALTAR,,2906,Argentina,"COSTEROS, FRESQUERO",19.94,,701006582
TRABAJAMOS,,2904,Argentina,"COSTEROS, FRESQUERO",19.94,,701006576
XIN SHI JI Nº 89,,2903,Argentina,"ALTURA,PROC.CONGELADOR",68.58,,701006568
NONO PASCUAL,,2854,Argentina,"COSTEROS, FRESQUERO",24,,701006502
ARGENOVA XXV,,2811,Argentina,"ALTURA,PROC.CONGELADOR",39.7,,701006471
API VI,,2812,Argentina,"ALTURA,PROC.CONGELADOR",36.35,,701006468
TANGO II,,2791,Argentina,"ALTURA,PROC.CONGELADOR",50.4,,701006450
API V,,2781,Argentina,"ALTURA,PROC.CONGELADOR",77.4,,701006445
DUKAT,,2775,Argentina,"ALTURA,PROC.CONGELADOR",50.8,,701006427
VIRGEN DEL MILAGRO,,2767,Argentina,"COSTEROS, FRESQUERO",19.93,,701006426
PIONEROS,,2735,Argentina,"ALTURA, FRESQUERO",35.97,,701006405
CALIZ,,2809,Argentina,"COSTEROS, FRESQUERO",20.2,,701006394
ARGENOVA XXIII,,2713,Argentina,"ALTURA,PROC.CONGELADOR",37.19,,701006377
MARIA GLORIA,,2738,Argentina,"ALTURA, FRESQUERO",28.05,,701006341
RASMUS EFFERSOE,,2703,Argentina,"ALTURA,PROC.CONGELADOR",44.6,,701006300
SOFIA B,,2679,Argentina,"COSTEROS, FRESQUERO",19.65,,701006282
ALVAREZ ENTRENA IV,,2761,Argentina,"COSTEROS, FRESQUERO",17.2,,701006236
PORTO BELO I,,2699,Argentina,"COSTEROS, FRESQUERO",23.98,,701006235
SIEMPRE DON CONRADO,,2687,Argentina,"COSTEROS, FRESQUERO",19.4,,701006215
SIEMPRE DON VICENTE,,2654,Argentina,"COSTEROS, FRESQUERO",18.94,,701006197
ORION 5,,2637,Argentina,"ALTURA,PROC.CONGELADOR",65.62,,701006183
ARGENOVA XXI,,2661,Argentina,"ALTURA,PROC.CONGELADOR",55.8,,701006182
PUENTE MAYOR,,2630,Argentina,"ALTURA,PROC.CONGELADOR",66.86,,701006168
DON RAUL,,2609,Argentina,"COSTEROS, FRESQUERO",12.25,,701006162
DON FRANCISCO I,,2562,Argentina,"ALTURA,PROC.CONGELADOR",66.55,,701006147
CHOKYU MARU Nº 18.,,2584,Argentina,"ALTURA,PROC.CONGELADOR",68.7,,701006145
HOYO MARU Nº 37,,2624,Argentina,"ALTURA,PROC.CONGELADOR",64.12,,701006144
SOHO MARU Nº 58,,2611,Argentina,"ALTURA,PROC.CONGELADOR",65.67,,701006143
NANINA,,2576,Argentina,"ALTURA,PROC.CONGELADOR",72.08,,701006140
ESPERANZA 909,,2577,Argentina,"ALTURA,PROC.CONGELADOR",72.34,,701006138
NUEVA NEPTUNIA I,,2634,Argentina,"COSTEROS, FRESQUERO",20,,701006137
SCIROCCO,,2574,Argentina,"ALTURA,PROC.CONGELADOR",65.93,,701006135
SANTA MARIA MADRE,,2615,Argentina,"COSTEROS, FRESQUERO",20.5,,701006134
ARBUMASA XXIX,,2561,Argentina,"ALTURA,PROC.CONGELADOR",65.6,,701006133
VIEIRASA DIECIOCHO,,2563,Argentina,"ALTURA,PROC.CONGELADOR",67.78,,701006132
VIEIRASA DIECISIETE,,2568,Argentina,"ALTURA,PROC.CONGELADOR",59.03,,701006131
ARBUMASA XXVIII,,2569,Argentina,"ALTURA,PROC.CONGELADOR",64.4,,701006119
ALVAREZ ENTRENA II,,2465,Argentina,"ALTURA,PROC.CONGELADOR",39.5,,701006094
CABO BUENA ESPERANZA,,2482,Argentina,"ALTURA, FRESQUERO",48.1,,701006093
CABO DOS BAHIAS,,2483,Argentina,"ALTURA, FRESQUERO",48.1,,701006092
TABEIRON DOS,,2323,Argentina,"ALTURA,PROC.CONGELADOR",33,,701006086
NAVEGANTES III,,2065,Argentina,"ALTURA,PROC.CONGELADOR",68.6,,701006085
BORRASCA,,1095,Argentina,"ALTURA,PROC.CONGELADOR",39.16,,701006084
MARIA EUGENIA,,1173,Argentina,"ALTURA,PROC.CONGELADOR",51.95,,701006083
PROMAC,,285,Argentina,"ALTURA, FRESQUERO",33.45,,701006080
ARBUMASA XIV,,213,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701006074
PONTE DE RANDE,,244,Argentina,"ALTURA,PROC.CONGELADOR",79.14,,701006073
XEITOSIÑO,,403,Argentina,"ALTURA,PROC.CONGELADOR",51.72,,701006071
DEPASUR I,,330,Argentina,"ALTURA,PROC.CONGELADOR",53.12,,701006069
MAR DEL CHUBUT,,487,Argentina,"ALTURA, FRESQUERO",28.2,,701006068
SIRIUS,,905,Argentina,"ALTURA, FRESQUERO",59.76,,701006063
MAREJADA,,1107,Argentina,"ALTURA, FRESQUERO",28.5,,701006062
VIEIRASA QUINCE,,179,Argentina,"ALTURA,PROC.CONGELADOR",38.5,,701006060
JUAN ALVAREZ,,619,Argentina,"ALTURA,PROC.CONGELADOR",36.6,,701006059
NAVEGANTES II,,1451,Argentina,"ALTURA,PROC.CONGELADOR",63.7,,701006056
SIEMPRE SANTA ROSA,,494,Argentina,"ALTURA, FRESQUERO",27.8,,701006055
SAN MATIAS.,,289,Argentina,"ALTURA, FRESQUERO",34.1,,701006050
VENTARRON 1º,,479,Argentina,"ALTURA,PROC.CONGELADOR",63.07,,701006046
GEMINIS,,1421,Argentina,"ALTURA,PROC.CONGELADOR",68.9,,701006044
STELLA MARIS I.,,926,Argentina,"ALTURA,PROC.CONGELADOR",68.2,,701006043
FONSECA,,920,Argentina,"ALTURA,PROC.CONGELADOR",62.4,,701006042
ATREVIDO,,145,Argentina,"ALTURA, FRESQUERO",32.5,,701006040
SIMBAD,,754,Argentina,"ALTURA, FRESQUERO",51.33,,701006038
MELLINO VI,,378,Argentina,"ALTURA, FRESQUERO",64.87,,701006037
SFIDA,,1567,Argentina,"ALTURA, FRESQUERO",26.5,,701006035
ARBUMASA XVIII,,217,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701006034
DON TURI,,1540,Argentina,"ALTURA, FRESQUERO",26,,701006028
FLORIDABLANCA,,969,Argentina,"ALTURA, FRESQUERO",27.67,,701006026
DESAFIO,,177,Argentina,"ALTURA, FRESQUERO",29.56,,701006020
ARAUCANIA,,1384,Argentina,"ALTURA, FRESQUERO",28.3,,701006007
BAHIA DESVELOS,,665,Argentina,"ALTURA,PROC.CONGELADOR",37.05,,701006005
LUNES SANTO,,1132,Argentina,"ALTURA,PROC.CONGELADOR",35.9,,701006003
Nº 75 TAE BAEK,,2364,Argentina,"ALTURA,PROC.CONGELADOR",55.7,,701000962
DON ANTONIO,,29,Argentina,"ALTURA, FRESQUERO",27.8,,701000958
ARGENOVA X,,2329,Argentina,"ALTURA,PROC.CONGELADOR",32.5,,701000950
ARGENOVA IX,,2328,Argentina,"ALTURA,PROC.CONGELADOR",32.5,,701000949
CLAUDINA,,2345,Argentina,"ALTURA,PROC.CONGELADOR",53.58,,701000948
SUR ESTE 502,,2201,Argentina,"ALTURA,PROC.CONGELADOR",54.6,,701000945
MARIO R,,1394,Argentina,"COSTEROS, FRESQUERO",22.6,,701000943
DASA 757,,2200,Argentina,"ALTURA,PROC.CONGELADOR",52.7,,701000942
DON LUIS I,,2093,Argentina,"ALTURA,PROC.CONGELADOR",67.95,,701000940
DON MIGUEL I,,748,Argentina,"ALTURA, FRESQUERO",26.6,,701000938
CABO SAN SEBASTIAN,,22,Argentina,"ALTURA, FRESQUERO",41.6,,701000934
WIRON IV,,1476,Argentina,"ALTURA, FRESQUERO",37.42,,701000933
ANTONIO ALVAREZ,,1429,Argentina,"ALTURA,PROC.CONGELADOR",36.6,,701000932
BEAGLE I,,1842,Argentina,"ALTURA,PROC.CONGELADOR",59.9,,701000929
PESCAPUERTA QUINTO,,538,Argentina,"ALTURA,PROC.CONGELADOR",63.1,,701000927
SERMILIK,,505,Argentina,"ALTURA,PROC.CONGELADOR",34.05,,701000925
JUPITER,,483,Argentina,"COSTEROS, FRESQUERO",24,,701000924
EMPESUR III,,1438,Argentina,"ALTURA,PROC.CONGELADOR",31,,701000919
FUEGUINO I,,331,Argentina,"ALTURA,PROC.CONGELADOR",52.25,,701000918
HOPE N°7,,788,Argentina,"ALTURA,PROC.CONGELADOR",50.6,,701000908
RIBAZON INES,,751,Argentina,"ALTURA, FRESQUERO",38.5,,701000902
ANITA ALVAREZ,,2138,Argentina,"ALTURA,PROC.CONGELADOR",25.5,,701000899
ALVAREZ ENTRENA V,,2279,Argentina,"ALTURA,PROC.CONGELADOR",30.5,,701000895
KANTXOPE,,1065,Argentina,"ALTURA, FRESQUERO",50.1,,701000894
TAISEI MARU N°8,,2207,Argentina,"ALTURA,PROC.CONGELADOR",65.57,,701000892
CHIARPESCA 903,,2109,Argentina,"ALTURA,PROC.CONGELADOR",64.1,,701000884
FELIX AUGUSTO,,581,Argentina,"ALTURA,PROC.CONGELADOR",27.8,,701000882
PROMARSA III,,2096,Argentina,"ALTURA,PROC.CONGELADOR",35.84,,701000881
SAN ARAWA II,,2098,Argentina,"ALTURA,PROC.CONGELADOR",56.46,,701000880
ORYONG 756,,2092,Argentina,"ALTURA,PROC.CONGELADOR",51.66,,701000879
ESPADARTE,,2048,Argentina,"ALTURA,PROC.CONGELADOR",68.2,,701000878
HARENGUS,,510,Argentina,"ALTURA,PROC.CONGELADOR",80.75,,701000876
ESTHER 153,,2058,Argentina,"ALTURA,PROC.CONGELADOR",55.1,,701000875
DON NATALIO,,1183,Argentina,"ALTURA, FRESQUERO",36,,701000870
VICTORIA II,,556,Argentina,"ALTURA, FRESQUERO",27.4,,701000869
GLORIA DEL MAR I,,1983,Argentina,"ALTURA,PROC.CONGELADOR",54.3,,701000867
PROMARSA II,,73,Argentina,"ALTURA, FRESQUERO",43.82,,701000866
BOUCIÑA,,1637,Argentina,"ALTURA,PROC.CONGELADOR",41.5,,701000865
ANGELUS,,1953,Argentina,"ALTURA,PROC.CONGELADOR",52.6,,701000860
ORION 1,,1943,Argentina,"ALTURA,PROC.CONGELADOR",53.25,,701000858
ORION I,,1497,Argentina,"COSTEROS, FRESQUERO",20.9,,701000858
ORION 2,,1942,Argentina,"ALTURA,PROC.CONGELADOR",53.25,,701000857
ROSARIO G,,549,Argentina,"ALTURA,PROC.CONGELADOR",26.74,,701000856
ARBUMASA XXVI,,1958,Argentina,"ALTURA,PROC.CONGELADOR",62.8,,701000852
FEIXA,,529,Argentina,"ALTURA, FRESQUERO",41.5,,701000850
VIRGEN MARIA,,541,Argentina,"ALTURA, FRESQUERO",56.65,,701000849
QUEQUEN SALADO,,580,Argentina,"COSTEROS, FRESQUERO",19.45,,701000845
PUCARA,,1822,Argentina,"COSTEROS, FRESQUERO",24.3,,701000844
SUMATRA,,1105,Argentina,"ALTURA, FRESQUERO",34.57,,701000842
EMPESUR IV,,1440,Argentina,"ALTURA,PROC.CONGELADOR",32.05,,701000840
CIUDAD FELIZ,,910,Argentina,"ALTURA, FRESQUERO",28.56,,701000837
ALTALENA,,181,Argentina,"ALTURA, FRESQUERO",55.8,,701000835
KANTXOPE,,1065,Argentina,"ALTURA, FRESQUERO",50.1,,701000834
MAR ESMERALDA,,925,Argentina,"ALTURA, FRESQUERO",53.35,,701000830
RIGEL,,266,Argentina,"ALTURA, FRESQUERO",26.23,,701000829
GAUCHO GRANDE,,339,Argentina,"ALTURA, FRESQUERO",28.5,,701000827
PESCARGEN III,,21,Argentina,"ALTURA,PROC.CONGELADOR",63.2,,701000823
DON VICENTE VUOSO,,539,Argentina,"COSTEROS, FRESQUERO",20.69,,701000822
CORAJE,,645,Argentina,"ALTURA, FRESQUERO",28.28,,701000820
PAOLA S,,557,Argentina,"ALTURA, FRESQUERO",28.25,,701000819
DON SANTIAGO,,1733,Argentina,"ALTURA, FRESQUERO",26.55,,701000818
VICTORIA I,,554,Argentina,"ALTURA, FRESQUERO",25.28,,701000816
DON LUCIANO,,69,Argentina,"ALTURA, FRESQUERO",48.62,,701000808
PATAGONIA,,284,Argentina,"ALTURA, FRESQUERO",30.95,,701000803
DON CAYETANO,,579,Argentina,"ALTURA, FRESQUERO",44.1,,701000794
MELLINO I,,379,Argentina,"ALTURA, FRESQUERO",47.25,,701000793
MAGRITTE,,1813,Argentina,"ALTURA, FRESQUERO",40.04,,701000791
PROMARSA I,,72,Argentina,"ALTURA, FRESQUERO",43.82,,701000787
ITXAS LUR,,927,Argentina,"ALTURA,PROC.CONGELADOR",63.3,,701000786
CODEPECA III,,506,Argentina,"ALTURA,PROC.CONGELADOR",36.81,,701000785
CHIARPESCA 56,,1090,Argentina,"ALTURA, FRESQUERO",38.3,,701000778
PUENTE CHICO,,756,Argentina,"ALTURA,PROC.CONGELADOR",37,,701000772
LATINA N°8,,291,Argentina,"ALTURA,PROC.CONGELADOR",55.9,,701000771
MILLENNIUM,,466,Argentina,"ALTURA,PROC.CONGELADOR",55.05,,701000770
ESAMAR Nº 4,,467,Argentina,"ALTURA,PROC.CONGELADOR",54.8,,701000768
SIRIUS II,,936,Argentina,"ALTURA, FRESQUERO",59.25,,701000765
CODEPECA IV,,1012,Argentina,"ALTURA,PROC.CONGELADOR",36.85,,701000764
MARBELLA,,1073,Argentina,"ALTURA, FRESQUERO",27.38,,701000759
DESEADO,,1598,Argentina,"COSTEROS, FRESQUERO",19,,701000758
CABO BUEN TIEMPO,,25,Argentina,"ALTURA, FRESQUERO",41.6,,701000757
PONTE CORUXO,,975,Argentina,"ALTURA, FRESQUERO",52.85,,701000756
SAN ANDRES APOSTOL,,569,Argentina,"ALTURA, FRESQUERO",54.56,,701000755
DASA 508,,499,Argentina,"ALTURA,PROC.CONGELADOR",52.8,,701000754
CRISTO REDENTOR,,1185,Argentina,"ALTURA, FRESQUERO",31,,701000745
LAIA,,254,Argentina,"ALTURA,PROC.CONGELADOR",53,,701000743
UCHI,,1901,Argentina,"ALTURA,PROC.CONGELADOR",54.23,,701000742
TIFON,,1182,Argentina,"COSTEROS, FRESQUERO",22,,701000737
MARIANELA,,1002,Argentina,"ALTURA, FRESQUERO",25.6,,701000736
CERES,,1420,Argentina,"ALTURA,PROC.CONGELADOR",60.74,,701000735
NAVEGANTES,,542,Argentina,"ALTURA,PROC.CONGELADOR",58,,701000732
SAN CAYETANO I,,1022,Argentina,"ALTURA, FRESQUERO",24.14,,701000731
NDDANDDU,,141,Argentina,"ALTURA,PROC.CONGELADOR",28.2,,701000729
TOZUDO,,1219,Argentina,"ALTURA, FRESQUERO",24.2,,701000728
MARIA GRACIA,,195,Argentina,"COSTEROS, FRESQUERO",24.05,,701000725
ARBUMASA X,,260,Argentina,"ALTURA,PROC.CONGELADOR",35.3,,701000720
COALSA SEGUNDO,,790,Argentina,"ALTURA,PROC.CONGELADOR",76.2,,701000717
EL MARISCO I,,912,Argentina,"ALTURA, FRESQUERO",27.22,,701000714
ARGENOVA XIV,,197,Argentina,"ALTURA,PROC.CONGELADOR",52.3,,701000713
ARBUMASA XV,,214,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701000708
MADRE DIVINA,,1556,Argentina,"ALTURA, FRESQUERO",26.12,,701000706
PUENTE VALDES,,2205,Argentina,"ALTURA,PROC.CONGELADOR",58.15,,701000691
MINTA,,2196,Argentina,"ALTURA,PROC.CONGELADOR",65.1,,701000689
ARGENOVA VI,,2179,Argentina,"ALTURA,PROC.CONGELADOR",35,,701000687
ARGENOVA I,,2180,Argentina,"ALTURA,PROC.CONGELADOR",35,,701000686
VILLARINO,,2178,Argentina,"ALTURA,PROC.CONGELADOR",64.5,,701000684
XIN SHI JI N° 88,,2182,Argentina,"ALTURA,PROC.CONGELADOR",59.2,,701000681
XIN SHI JI N° 99,,2181,Argentina,"ALTURA,PROC.CONGELADOR",65.1,,701000680
PATAGONIA BLUES,,2176,Argentina,"ALTURA,PROC.CONGELADOR",60.35,,701000677
ORION 3,,2167,Argentina,"ALTURA,PROC.CONGELADOR",63.1,,701000675
XIN SHI DAI N° 28,,2165,Argentina,"ALTURA,PROC.CONGELADOR",62.4,,701000674
PATAGONIA 2,,2164,Argentina,"ALTURA,PROC.CONGELADOR",51.9,,701000673
CAPITAN GIACHINO,,151,Argentina,"ALTURA,PROC.CONGELADOR",38.42,,701000668
CONARPESA I,,200,Argentina,"ALTURA,PROC.CONGELADOR",52.5,,701000666
ASUDEPES II,,114,Argentina,"ALTURA,PROC.CONGELADOR",54.77,,701000663
ARBUMASA XVI,,215,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701000662
FLORIDABLANCA IV,,255,Argentina,"ALTURA,PROC.CONGELADOR",34.98,,701000660
FERNANDO ALVAREZ,,13,Argentina,"ALTURA,PROC.CONGELADOR",36.6,,701000658
MAR AUSTRAL I,,208,Argentina,"ALTURA,PROC.CONGELADOR",37.6,,701000652
ARBUMASA I,,248,Argentina,"ALTURA,PROC.CONGELADOR",35.3,,701000651
MARA I,,210,Argentina,"ALTURA,PROC.CONGELADOR",35.31,,701000649
PUENTE SAN JORGE,,207,Argentina,"ALTURA,PROC.CONGELADOR",35.3,,701000648
ALVER,,1576,Argentina,"ALTURA,PROC.CONGELADOR",35.03,,701000646
MARIA LILIANA,,1174,Argentina,"ALTURA,PROC.CONGELADOR",53.75,,701000645
EMPESUR I,,1437,Argentina,"ALTURA,PROC.CONGELADOR",31,,701000642
MAR SUR,,341,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701000639
ESTEIRO,,1887,Argentina,"ALTURA, FRESQUERO",38.1,,701000636
ESTRELLA N° 6,,12,Argentina,"ALTURA,PROC.CONGELADOR",55.85,,701000632
ESTRELLA N° 5,,246,Argentina,"ALTURA,PROC.CONGELADOR",54.2,,701000631
PESCARGEN IV,,150,Argentina,"ALTURA,PROC.CONGELADOR",63.2,,701000628
TAI AN,,1530,Argentina,"ALTURA,PROC.FACTORIA",100.5,,701000627
ARBUMASA XVII,,216,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701000626
MIURA MARU,,970,Argentina,"ALTURA,PROC.CONGELADOR",53.2,,701000623
PETREL,,1445,Argentina,"ALTURA, FRESQUERO",29.85,,701000622
INITIO PEZ,,1471,Argentina,"ALTURA, FRESQUERO",24.85,,701000621
MEVIMAR,,1508,Argentina,"ALTURA,PROC.CONGELADOR",37.45,,701000619
COMANDANTE LUIS PIEDRABUENA,,767,Argentina,"ALTURA, FRESQUERO",25,,701000617
MISS PATAGONIA,,555,Argentina,"ALTURA,PROC.CONGELADOR",28.2,,701000615
KALEU KALEU,,1963,Argentina,"ALTURA,PROC.CONGELADOR",36.12,,701000612
ARBUMASA XIX,,218,Argentina,"ALTURA,PROC.CONGELADOR",36.4,,701000607
CABO TRES PUNTAS,,1483,Argentina,"ALTURA, FRESQUERO",31.43,,701000599
SAN MATEO,,70,Argentina,"ALTURA,PROC.CONGELADOR",54.1,,701000597
NATALIA,,2066,Argentina,"ALTURA,PROC.CONGELADOR",68.45,,701000596
SAN JORGE MARTIR,,2152,Argentina,"ALTURA, FRESQUERO",56.1,,701000591
SIEMPRE DON JOSE MOSCUZZA,,2257,Argentina,"ALTURA, FRESQUERO",38,,701000588
VICTORIA P,,2246,Argentina,"ALTURA,PROC.CONGELADOR",36.15,,701000587
DON JOSE DI BONA,,2241,Argentina,"COSTEROS, FRESQUERO",19.85,,701000585
MERCEA C,,318,Argentina,"ALTURA, FRESQUERO",29.15,,701000583
RAWSON,,1569,Argentina,"COSTEROS, FRESQUERO",23.5,,701000580
FRANCO,,1458,Argentina,"ALTURA, FRESQUERO",32.53,,701000578
DIEGO FERNANDO,,2416,Argentina,"COSTEROS, FRESQUERO",17.95,,701000572
GOLFO SAN MATIAS,,362,Argentina,"ALTURA, FRESQUERO",24.46,,701000571
TABEIRON TRES,,2365,Argentina,"COSTEROS, FRESQUERO",23.9,,701000570
PEVEGASA QUINTO,,2312,Argentina,"ALTURA,PROC.CONGELADOR",38.65,,701000562
SANTIAGO I,,2280,Argentina,"ALTURA,PROC.CONGELADOR",30.5,,701000561
MAGDALENA,,2325,Argentina,"ALTURA,PROC.CONGELADOR",32.7,,701000558
ARESIT,,2265,Argentina,"ALTURA,PROC.CONGELADOR",36.26,,701000553
MATEO I,,2172,Argentina,"ALTURA,PROC.CONGELADOR",67.97,,701000551
ARGENOVA III,,2156,Argentina,"ALTURA,PROC.CONGELADOR",36.3,,701000550
ARGENOVA IV,,2157,Argentina,"ALTURA,PROC.CONGELADOR",36.26,,701000549
MISHIMA MARU N°8,,2175,Argentina,"ALTURA,PROC.CONGELADOR",63.43,,701000547
ARGENOVA II,,2177,Argentina,"ALTURA,PROC.CONGELADOR",38.5,,701000546
KARINA,,1462,Argentina,"ALTURA, FRESQUERO",32.53,,701000543
LETARE,,245,Argentina,"ALTURA, FRESQUERO",24.88,,701000540
PAKU,,250,Argentina,"ALTURA,PROC.CONGELADOR",39.16,,701000539
IGLU I,,1423,Argentina,"ALTURA, FRESQUERO",32.75,,701000537
SANTA ANGELA,,9,Argentina,"ALTURA, FRESQUERO",57.3,,701000535
MARCALA I,,352,Argentina,"ALTURA, FRESQUERO",50.8,,701000531
SIRIUS III,,937,Argentina,"ALTURA, FRESQUERO",59.25,,701000529
ALCO BARI,,1008,Argentina,"ALTURA,PROC.CONGELADOR",38.6,,701000528
CALABRIA,,567,Argentina,"COSTEROS, FRESQUERO",19.63,,701000525
ARBUMASA XXVII,,2057,Argentina,"ALTURA,PROC.CONGELADOR",64.21,,701000517
JUEVES SANTO,,667,Argentina,"ALTURA,PROC.CONGELADOR",39.5,,701000516
MIERCOLES SANTO,,666,Argentina,"ALTURA,PROC.CONGELADOR",38.5,,701000515
URABAIN,,612,Argentina,"ALTURA,PROC.CONGELADOR",73.2,,701000512
UR ERTZA,,377,Argentina,"ALTURA, FRESQUERO",51,,701000511
ARGENTINO,,142,Argentina,"ALTURA, FRESQUERO",33.77,,701000509
HUA I N°616,,392,Argentina,"ALTURA,PROC.CONGELADOR",59.8,,701000506
PUNTA MOGOTES,,1907,Argentina,"COSTEROS, FRESQUERO",20.7,,538002603
TALISMAN,,2263,Argentina,"ALTURA,PROC.CONGELADOR",49.95,,306867000
PINTAMAR,,MVDEO-7486,Uruguay,B,24.48,Montevideo,1957
TABEIRON,,2233,Argentina,"ALTURA,PROC.CONGELADOR",34.15,,-5348196
REPUNTE,,1120,Argentina,"ALTURA, FRESQUERO",32.7,,-6603024
ARTHUR SEIF,,MVDEO-8617,Uruguay,C,22.15,Montevideo,
BADARO,,MVDEO-8625,Uruguay,,49.9,Montevideo,
EMPESUR V,,2650,Argentina,"ALTURA,PROC.CONGELADOR",30.52,,
LA CRUZ DEL SUR,,1909,Argentina,"RADA O RIA, FRESQUERO",17.25,,
MARGOT,,360,Argentina,"ALTURA, FRESQUERO",58.75,,
MOUSE SEIF,,MVDEO-8618,Uruguay,C,21.68,Montevideo,
PESCARGEN V,,78,Argentina,"ALTURA,PROC.CONGELADOR",60.22,,
SUEMAR,,618,Argentina,"ALTURA,PROC.CONGELADOR",36.6,,
