Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
ANTONELLA 		033 	Argentina 	COSTEROS, FRESQUERO 	16.25 	
ANTONINO 		0877 	Argentina 	ALTURA, FRESQUERO 	27.6 	
ANTONIO ALVAREZ 		01429 	Argentina 	ALTURA,PROC.CONGELADOR 	36.6 	
API V 		02781 	Argentina 	ALTURA,PROC.CONGELADOR 	77.4 	
API VI 		02812 	Argentina 	ALTURA,PROC.CONGELADOR 	36.35 	
ARAUCANIA 		01384 	Argentina 	ALTURA, FRESQUERO 	28.3 	
ARBUMASA I 		0248 	Argentina 	ALTURA,PROC.CONGELADOR 	35.3 	
ARBUMASA X 		0260 	Argentina 	ALTURA,PROC.CONGELADOR 	35.3 	
ARBUMASA XIV 		0213 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XIX 		0218 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XV 		0214 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XVI 		0215 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XVII 		0216 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XVIII 		0217 	Argentina 	ALTURA,PROC.CONGELADOR 	36.4 	
ARBUMASA XXIX 		02561 	Argentina 	ALTURA,PROC.CONGELADOR 	65.6 	
ARBUMASA XXVI 		01958 	Argentina 	ALTURA,PROC.CONGELADOR 	62.8 	
ARBUMASA XXVII 		02057 	Argentina 	ALTURA,PROC.CONGELADOR 	64.21 	
ARBUMASA XXVIII 		02569 	Argentina 	ALTURA,PROC.CONGELADOR 	64.4 	
ARESIT 		02265 	Argentina 	ALTURA,PROC.CONGELADOR 	36.26 	
ARGENOVA I 		02180 	Argentina 	ALTURA,PROC.CONGELADOR 	35 	
ARGENOVA II 		02177 	Argentina 	ALTURA,PROC.CONGELADOR 	38.5 	
ARGENOVA III 		02156 	Argentina 	ALTURA,PROC.CONGELADOR 	36.3 	
ARGENOVA IV 		02157 	Argentina 	ALTURA,PROC.CONGELADOR 	36.26 	
ARGENOVA IX 		02328 	Argentina 	ALTURA,PROC.CONGELADOR 	32.5 	
ARGENOVA VI 		02179 	Argentina 	ALTURA,PROC.CONGELADOR 	35 	
ARGENOVA X 		02329 	Argentina 	ALTURA,PROC.CONGELADOR 	32.5 	
ARGENOVA XI 		02199 	Argentina 	ALTURA,PROC.CONGELADOR 	45.2 	
ARGENOVA XII 		0199 	Argentina 	ALTURA,PROC.CONGELADOR 	47.09 	
ARGENOVA XIV 		0197 	Argentina 	ALTURA,PROC.CONGELADOR 	52.3 	
ARGENOVA XXI 		02661 	Argentina 	ALTURA,PROC.CONGELADOR 	55.8 	
ARGENOVA XXII 		02714 	Argentina 	ALTURA,PROC.CONGELADOR 	37.7 	
ARGENOVA XXIII 		02713 	Argentina 	ALTURA,PROC.CONGELADOR 	37.19 	
ARGENOVA XXIV 		02752 	Argentina 	ALTURA,PROC.CONGELADOR 	38.8 	
ARGENOVA XXV 		02811 	Argentina 	ALTURA,PROC.CONGELADOR 	39.7 	
ARGENOVA XXVI 		02849 	Argentina 	ALTURA,PROC.CONGELADOR 	37.15 	
ARGENTINO 		0142 	Argentina 	ALTURA, FRESQUERO 	33.77 	
ARRUFO 		0540 	Argentina 	ALTURA, FRESQUERO 	39.16 	
ASUDEPES II 		0114 	Argentina 	ALTURA,PROC.CONGELADOR 	54.77 	
